title,title_matched,authors,authors_matched,date,date_matched,isbn,isbn_matched,pages,pages_matched,description,description_matched,publisher,publisher_matched,keywords,keywords_matched,binding,barcode,value,status,image,percent,source
Aesop's Fables,Aesop's Fables,Aesop,"Aesop,",2002,2008-04-17,9780199540754,"0199540756, 9780199540754",,0,A new translation by Laura Gibbs,"This new translation is the first to represent all the main fable collections in ancient Latin and Greek derived from the legendary Aesop, arranged according to the fables' contents and themes. It includes 600 fables, many of which come from sources never before translated into English.",Oxford University Press,OUP Oxford,Literature,Literary Collections,,106399,,Lending,http://books.google.com/books/content?id=uQxHPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Surpassing Wonder,Surpassing wonder,Donald Harman Akenson,Donald Harman Akenson,1998,1998,0151004188,0151004188,,658,The invention of the bible & the Talmuds,the invention of the Bible and the Talmuds,McGill-Queen's University Press,Harcourt Brace,Hebrew scriptures Talmuds of the rabbis,,,101010,,Lending,https://covers.openlibrary.org/b/id/112110-S.jpg,101,ISBN
The X Rated Bible,The X-rated Bible,Edward Akerley,Ben Edward Akerley,1989,1989,0910309191,0910309191,,428,Sex in the scriptures,an irreverent survey of sex in the scriptures,American Atheist Press Austin Texas,American Atheist Press,Bible,,,104149,,Lending,,101,ISBN
The X Rated Bible,The X-rated Bible,Edward Akerley,Ben Edward Akerley,1989,1989,0910309191,0910309191,,428,Sex in the scriptures,an irreverent survey of sex in the scriptures,American Atheist Press Austin Texas,American Atheist Press,Bible,,,106290,,Lending,,101,ISBN
Green Facts,Green Facts,Michael Allaby,Michael Allaby,1986,1986,0600566188,"0600566188, 9780600566182",,192,The greenhouse effect & other key issues,"Ecology - Man-made disasters - The ozone layer - The greenhouse effect - The humid tropics - Acid rain - Nuclear power and the alternatives; Whales, seals, sea otters and mermaids - The seas - People, hunger and poverty_____",The Hamlyn Publishing Group London,,Conservation,Climatic changes,,104113,,Lending,,101,ISBN
Facing the Future,Facing the Future,Michael Allaby,Michael Allaby,1995,1996,0747524858,"0747524858, 9780747524854",,280,The Case For Science,"This work seeks to provide a positive picture of science, depicting it as a real hope for the future. Covering 100 topics such as global warming, nuclear power, food additives, pesticides in farming and environmental pollution, it attempts to alleviate fears surrounding these issues.",Bloomsbury Publishing London,,Science,Rationalism,,100019,,Lending,http://books.google.com/books/content?id=3XbwGwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Enemies,Enemies,John Romney Aldergrove,John Romney Aldergrove,1951,1998,0968293204,0968293204,,396,The rationalists View of Human Nature,the rationalist view of human nature,Printed in Canada,Stentorian,Rationalism,,,100203,,Lending,https://covers.openlibrary.org/b/id/7356033-S.jpg,101,ISBN
The Human Christ,The Human Christ,Charlotte Allen,Charlotte Allen,1998,1999,0745942350,"0745942350, 9780745942353",382,400,The Search for the Historical Jesus,"Jesus the historical figure has intrigued some of the most interesting figures of modernity; such as Newton and Norman Mailer. In this revealing history and critique, the author enters the complex mental worlds of these researchers to show how our understanding of Jesus has influenced our culture",Library of Congress Cataloging,Lion Books,Theology,,Paperback,102572,29.95,Lending,http://books.google.com/books/content?id=4KN8AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
"Steve Allen on the Bible, Religion, and Morality","Steve Allen on the Bible, religion, & morality",Steve Allen,"Allen, Steve",1990,1990,0879756381,0879756381,428,428,,,Prometheus Books,Prometheus Books,Humour,,Hardback,100029,,Lending,https://covers.openlibrary.org/b/id/675903-S.jpg,101,ISBN
In the Devil's Garden: a Sinful History of Forbidden Food,In the Devil's Garden,Stewart Lee Allen,Stewart Lee Allen,2003,2003,1841954055,"1841954055, 9781841954059",NaN,340,a Sinful History of Forbidden Food,"Written with the same humor and quirky world view Allen displayed in ""The Devil's Cup, "" this new book on good and evil foods, through the author's extraordinary and exhaustive research, will appeal to food lovers, culinary historians, history buffs, amateur anthropologists, and armchair travelers alike.",Canongate,Canongate Books,Food / History,Cooking,,"  104649",14,Lending,http://books.google.com/books/content?id=9NEOi1gHbqEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Property Rights: A Practical Guide to Freedom and Prosperity,Property Rights,Laura E. Terry L. & Huggins Anderson,"Terry Lee Anderson, Laura E. Huggins",2003,2003,0817939121,"STANFORD:36105111528373, 0817939121",NaN,124,,"Drawing on the thoughts of various philosophers, political thinkers, economists, and lawyers, Terry Anderson and Laura Huggins present a blueprint for the nonexpert-expert on how societies can encourage or discourage freedom and prosperity through their property rights institutions. This Hoover Classic edition of Property Rightsdetails step-by-step what property rights are, what they do, how they evolve, how they can be protected, and how they promote freedom and prosperity.",Hoover Institution Press,Hoover Press,Politics / Philosophy,Business & Economics,,100033,29.95,Lending,http://books.google.com/books/content?id=IWfEAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
"Herbert Spencer: Structure, Function, and Evolution",Herbert Spencer,Stanislav (Ed.) Andreski,Herbert Spencer,1972,1972,0177120819,0177120819,257,257,,"structure, function, and evolution",Thomas Nelson and Sons,Nelson,"Spencer, Herbert",,Paperback,100034,,Lending,,101,ISBN
