Barcode	Author	Title	Description	Keywords	Publisher	Date	Status	TimesLent	ISBN	Value	BindingPages
100715	Abbott, Geoffrey	Rack Rope & Red Hot Pincers	Instruments of torture through the ages	Torture	Headline	1993	Lending				
104177	Abbotson, Martin	Liberation of Germany, The                                                                         	Organized propaganda	Propaganda	Watts & Co	1931	Reference				
100005	Abel, Lionel	Important Nonsence	The nonsence of individuals	Nonsence	Prometheus	1985	Lending				
100004	Abel, Earnest	Wordlore & Folklore	Fact & Fantasy associated with alcohol	Alcohol	Prometheus	1987	Lending				
100006	Abercrombie, Nicholas	Dictionary of Sociology                                                                                    		Sociology	Penguin	1984	Lending				
100007	Acadamy of Humanism 	Neo Fundamentalism	Then Humanist Response	Humanism	Prometheus	1998	Lending				
106033	Abernethy, G.L.; Langford, T.A.	Philosophy of Religion		Philosophy	The Macmillan Company New York 	1968	Lending				
101966	Achtemeier, Paul J	Harpers Bible Dictionary		Bible		1st Edition	Reference				
101855	Ackerman, Diane	Natural History of the Senses, A				1996	Lending				
106562	Ackroyed, Peter	Thames Sacred River	prehistoric to present 	History	Chatto & Winduss                     The New     Zealand writers workshop 	2007	Lending				
102777	Ackroyed, Peter	Collection The: Essays	Ackroyeds chief reviewer for the Times	Literature	Chatto & Windus London	2001	Lending				
101958	Ackroyed, Peter	London The Biography	Biography of a City	Biography	Vintage	2000	Lending				
100715	Adams, Phillip	Adam Versus God                                                                                    		God		1985	Lending				
102796	Adams Charles                           	For Good & Evil	Impact of taxes on the course of civilization    Tax                                            			1999	Lending				
104461	Adler, Alfred 	Understanding Human Nature	Individual Psychology	Psychology	Greenberg Publishers New York	1927           Reference					
100009	Adler, Margot	Drawing Down the Moon                                                                              A Study of Neo-Paganism       	  	Witches & Druids	Beacon Press	1979	Lending				
106399	Aesop	Aesop's Fables	A new translation by Laura Gibbs	Literature	Oxford University Press	2002	Lending		978-0-19-954075-4		
104701	Agnew, Lisa	By the Pricking of my Thumbs	Ponerology the study of evil	Evil		2012	Lending		1468163213		
104148	Aiken, D Henry	Age of Ideology, The                                                                                        Philosophica lconflicts of the 19th Century 	Philisophical conflicts of the 19th Century	Philosophy	American library of world literature New york	1956	Lending				
104975	Ainsworth, Harrison	Old St. Paul's			Thomas Nelson and Sons	1841	Lending				
106430	Ainsworth, W.H.	The Lancashire Witches		Literature	Thomas Nelson and Sons		Lending				
106429	Ainsworth, W.H.	The Tower of London		Literature	Thomas Nelson and Sons	1840	Lending				
106645	Akbar, M.J.	The Shade of Swords	A cohesive history of jihad	Religion	Routledge UK	2002	Lending		0-425-32814-4		
101010	Akenson, Donald Harman	Surpassing Wonder	The invention of the bible & the Talmuds	Hebrew scriptures Talmuds of the rabbis	McGill-Queen's University Press	1998	Lending		0-15-100418-8		
104149	Akerley, Edward	X Rated Bible, The	Sex in the scriptures	Bible	American Atheist Press Austin Texas	1989	Lending		0-910309-19-1		
106290	Akerley, Edward	X Rated Bible, The	Sex in the scriptures	Bible	American Atheist Press Austin Texas	1989	Lending		0-910309-19-1		
104113	Allaby, Michael	Green Facts	The greenhouse effect & other key issues	Conservation	The Hamlyn Publishing Group London 	1986	Lending		0-600-566-188		
100019	Allaby, Michael	Facing the Future	The Case For Science	Science	Bloomsbury Publishing  London	1995	Lending		0-7475-2485-8		
104757	Allaby, Michael	Facing the Future	The Case For Science	Science	Bloomsbury Publishing  London	1995	Lending				
100203	Aldergrove, John Romney	Enemies	The rationalists View of Human Nature	Rationalism	Printed in Canada	1951	Lending		0-9682932-0-4		
104734	Aldred, Guy A	Richard Carlile  “agitator his life & times”	Political history 1790-1843	Atheist		1941	Lending				
104458	Alldritt, Charles	Worlds in Mind	Short stories fantastic fiction	Science Fiction	C Alldritt                    The New Zealand writers workshop 	1970	Lending		1st Edition		
104460	Alldritt, Charles	Thinking About Thinking	Humanism	Humanism	C Alldritt                    The New     Zealand writers workshop 	1978	Lending				
104459	Alldritt, Charles	Tree Worship	With individual myths & legends	Humanism	C Alldritt                    The New     Zealand writers workshop 	1965	Lending				
106445	Allen, Charlotte	Human Christ, The	The Search for the Historical Jesus	Theology	Library of Congress Cataloging	1998	Lending				
102572	Allen, Charlotte	Human Christ, The	The Search for the Historical Jesus	Theology	Library of Congress Cataloging	1998	Lending		0-7459-4235-0	$29.95	P/382
100027	Allen, Grant	Evolution of the Idea of God, The		Religious Anthropology	Watts & Co.	1903	Lending	1			H/
100028	Allen, Grant	Evolution of the Idea of God, The		Religious Anthroplogy	Watts & Co.	1931	Reference				H/308
100025	Allen, Grant	Hand of God and Other Posthumous Essays, The		Humanism	Watts & Co.	1909	Lending				H/114
100026	Allen, Grant	Hand of God and Other Posthumous Essays, The		Humanism	Watts & Co.	1909	Reference				H/114
104145	Allen, G W Harold	Edge of the Universe, The	A science fiction mystery novel	Science	Allen Book Publishing	1970	Lending				
100024	Allen, Grant	In Nature's Workshop		Biology	George Newnes Ltd	1901	Reference				H/240
100023	Allen, Grant	Story of the Plants, The		Botany	D Appleton	1910	Reference				H/218
104103	Allen L John	Rise of Benedict XVI The	Religion	Religion		2005	Lending				
100029	Allen, Steve	Steve Allen on the Bible, Religion, and Morality		Humour	Prometheus Books	1990	Lending	4	0-87975-638-1		H/428
  104649	Allen, Stewart Lee	In the Devil's Garden: a Sinful History of Forbidden Food	 a Sinful History of Forbidden Food	Food / History	Canongate	2003	Lending		1-84195-405-5	$14.00	312/P
104215	Allen & Unwin 	Bertrand Russell         Fact & Fiction	Fact & Fiction			1961	Lending				
103838	Allen & Unwin 	What I Believe	A collection of essays by different authors	Philosophy		1996	Lending				
106054	Allegro John	Dead Sea Scrolls The		Religion	Penguin	1956	Lending				
104146	Allegro John	Chosen People The				1971	Lending				
104141	Allegro John	Dead Sea Scrolls The		Religion		1956	Lending				
104731	Allegro John	Rationalist Annual The	Antony Flew, J.B.S.Haldane	Philosophy		1958	Lending				
100017	Alexander W. M. Menzies.	Demonic Possesion in the new Testament				1902	Reference				
104111	Alper Mathew	God part of the Brain The				2006	Lending				
104825	Altizer Thomas J. J.	History As Apocalypse		Social Studies	State University of New York Press Albany	1985	Lending		0-88706-014-5+		
106004	Altizer Thomas J. J.	The Descent into hell	A study of radical reversal of the christian consciousness	Social Studies	J.B. Lippincott Company	1970	Lending				
101054	Ambedkar Baba Saheb. Vol 1	Castes in India	Writings & Speeches	India	Gov't of Maharashtra	1989	Reference				
101079	Ambedkar Baba Saheb. Vol 2	Bombay legislature	Government India	India	Gov't of Maharashtra	1982	Reference				
101784	Ambedkar Baba Saheb. Vol 3	Philosophy of Hinduism : unpublished writings	Philosophy / India	India	Gov't of Maharashtra	1987	Reference				
101784	Ambedkar Baba Saheb. Vol 4	Untouchables : unpublished writings	History / India	India	Gov't of Maharashtra	1989	Reference				
101786	Ambedkar Baba Saheb. Vol 5	Ecomomics	Economics / India	India	Gov't of Maharashtra	1989	Reference				
101787	Ambedkar Baba Saheb. Vol 6	Who wre the Shudras	History / India	India	Gov't of Maharashtra	1990	Reference				
101788	Ambedkar Baba Saheb. Vol 7	Reprint of Pakistan	Partition of India	India	Gov't of Maharashtra	1990	Reference				
101789	Ambedkar Baba Saheb. Vol 8	What Congress & Ghandi have done to the untouchables	Political history / India	India	Gov't of Maharashtra	1991	Reference				
101790	Ambedkar Baba Saheb. Vol 9	Buddha & his Dhamma The	History / India	India	Gov't of Maharashtra	1992	Reference				
106660	Anatole France	The Life of Joan of Arc, Vol. 1 (translated by W Stephens)	History			1925	Reference				
106664	Anatole France	The Life of Joan of Arc, Vol. 2	Religious history								
106663	Anatole France	The Life of Joan of Arc, Vol. 3	Religious History								
106661	Anatole France	Mother of Pearl	procurator Judaea	religion							
100793	Anderson Benedict	Liberation of Germany, The                                                                         				1983	lending				
